Locality,Restaurant Count,Percentage
East Village,2,0.02
West Des Moines,2,0.02
Hepburn Springs,2,0.02
Disney: Downtown Disney,2,0.02
Mills 50,2,0.02
Perdido Key,2,0.02
Lava Hot Springs,2,0.02
Tybee Island,2,0.02
"Lavender, Kallang",2,0.02
"Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",2,0.02
Al Dhafrah,2,0.02
"Al Wahda Mall, Al Wahda",2,0.02
"World Trade Center Mall, Al Markaziya",2,0.02
Al Karama,2,0.02
Al Mareija,2,0.02
Al Nahda,2,0.02
Agra Cantt,2,0.02
"ITC Mughal, Tajganj",2,0.02
"Radisson Blu, Tajganj",2,0.02
Ellis Bridge,2,0.02
Gurukul,2,0.02
Navrangpura,2,0.02
Vastrapur,2,0.02
Basant Nagar,2,0.02
White Avenue,2,0.02
Marathahalli,2,0.02
Sarjapur Road,2,0.02
"DB City, Maharana Pratap Nagar",2,0.02
TT Nagar,2,0.02
Chandrasekharpur,2,0.02
Sahid Nagar,2,0.02
Anna Nagar East,2,0.02
Nungambakkam,2,0.02
T. Nagar,2,0.02
RS Puram,2,0.02
Saibaba Colony,2,0.02
Karanpur,2,0.02
"Eldeco Station 1 Mall, Sector 12, Faridabad",2,0.02
"The Atrium, Suraj Kund",2,0.02
Surya Nagar,2,0.02
Candolim,2,0.02
" ILD Trade Centre Mall, Sohna Road",2,0.02
"Ambience Mall, Gurgaon",2,0.02
"Best Western Skycity Hotel, Sector 15, Gurgaon",2,0.02
"Country Inn & Suites by Carlson, Sector 12",2,0.02
"Courtyard by Marriott, Sushant Lok",2,0.02
"Crowne Plaza, Sector 29",2,0.02
"DLF Star Mall, Sector 30",2,0.02
"DoubleTree by Hilton, Sector 56",2,0.02
"Fortune Select Excalibur, Sohna Road",2,0.02
"Hotel Clark Inn, Sector 15",2,0.02
"Hotel Grenville, MG Road",2,0.02
"Hotel Haute.Monde, Sector 15",2,0.02
Hyatt Place Gurgaon,2,0.02
"JMD Regent Arcade Mall, MG Road",2,0.02
"Kingdom of Dreams, Sector 29",2,0.02
"Ninex City Mart Mall, Sohna Road",2,0.02
Sadar Bazar,2,0.02
"Sahara Mall, MG Road",2,0.02
Sector 54,2,0.02
South City 1,2,0.02
"Suncity Business Tower, Golf Course Road",2,0.02
"The Habitare Hotel, Sector 14",2,0.02
"The Westin Sohna Resort & Spa, Sohna Road",2,0.02
"Trident, Udyog Vihar",2,0.02
"Vivanta by Taj, Sector 44, Gurgaon",2,0.02
"Anil Plaza, Christian Basti",2,0.02
Chandmari,2,0.02
Ulubari,2,0.02
Banjara Hills,2,0.02
Hitech City,2,0.02
Madhapur,2,0.02
Bhawar Kuan,2,0.02
Old Palasia,2,0.02
"Holiday Inn Jaipur City Centre, Bais Godam",2,0.02
Lal Kothi,2,0.02
Vaishali Nagar,2,0.02
Edappally,2,0.02
Kaloor,2,0.02
"LuLu Mall, Edappally",2,0.02
"Acropolis Mall, Kasba ",2,0.02
"Sector 5, Salt Lake",2,0.02
Hazratganj,2,0.02
Gurdev Nagar,2,0.02
Borivali West,2,0.02
Powai,2,0.02
Anand Wali Goan,2,0.02
"Bon Vivant, College Road",2,0.02
Satpur,2,0.02
Anand Lok,2,0.02
"Crowne Plaza Hotel, Rohini",2,0.02
"Crowne Plaza, Mayur Vihar Phase 1",2,0.02
"DDA Market, Kalu Sarai, Hauz Khas",2,0.02
"DLF Emporio Mall, Vasant Kunj",2,0.02
Feroze Shah Road,2,0.02
Friends Colony,2,0.02
"Ginger Hotel, Vivek Vihar",2,0.02
"Holiday Inn, Mayur Vihar",2,0.02
"Hotel Broadway, Daryaganj",2,0.02
"Hotel City Park, Pitampura",2,0.02
