Locality,Restaurant Count,Percentage
Chandigarh Industrial Area,1,0.01
Adyar,1,0.01
"Express Avenue Mall,  Royapettah",1,0.01
Gopalapuram,1,0.01
Kilpauk,1,0.01
Kotturpuram,1,0.01
Mylapore,1,0.01
Perungudi,1,0.01
RA Puram,1,0.01
Ramapuram,1,0.01
Santhome,1,0.01
Gandhipuram,1,0.01
Podanur,1,0.01
"SMS Hotel, Peelamedu",1,0.01
"Pacific Mall, Jakhan",1,0.01
Paltan Bazaar,1,0.01
Badkal Lake,1,0.01
Dayal Bagh,1,0.01
Indraprastha Colony,1,0.01
K Hotel,1,0.01
"Park Plaza, Sector 21, Faridabad",1,0.01
Sector 42,1,0.01
"SRS Mall, Sector 12, Faridabad",1,0.01
"Vibe by The LaLit Traveller, Mathura Road",1,0.01
Kaushambi,1,0.01
"Anjuna Beach, Anjuna",1,0.01
Betalbatim,1,0.01
Calangute,1,0.01
"Calangute Beach, Calangute",1,0.01
Cavelossim,1,0.01
Nerul,1,0.01
"Central Arcade, DLF Phase 2, Gurgaon",1,0.01
"Country Inn & Suites by Carlson, Gurgaon",1,0.01
"Country Inn & Suites By Carlson, Udyog Vihar",1,0.01
"Country Inn & Suites, Sohna Road",1,0.01
"Cyber Greens, DLF Cyber City",1,0.01
"Fortune Select Global, MG Road",1,0.01
"IBIS Hotel, Golf Course Road",1,0.01
"JMD Megapolis Mall, Sohna Road",1,0.01
"Jukaso It Suites, Sector 14",1,0.01
"Lemon Tree Premier, Sector 29",1,0.01
"Omaxe Celebration Mall, Sohna Road, Gurgaon",1,0.01
"Park Inn, Sector 15, Gurgaon",1,0.01
"Plaza Mall, MG Road",1,0.01
"Ramada Gurgaon Central, Sector 44",1,0.01
"The Claremont, MG Road",1,0.01
"The Galgotias, Sector 23",1,0.01
"The Oberoi, Udyog Vihar",1,0.01
"The Pllazio Hotel, Sector 29",1,0.01
"The Sapphire Mall, Sohna Road",1,0.01
"Woods Resort, Gurgaon",1,0.01
Christian Basti,1,0.01
Six Mile,1,0.01
"12th Square Building, Banjara Hills",1,0.01
Gachibowli,1,0.01
Holiday Inn Express & Suites,1,0.01
Kondapur,1,0.01
Ohri' Hitech City,1,0.01
HIG-LIG,1,0.01
"Infiniti Hotel, Vijay Nagar",1,0.01
"Radisson Blu Hotel, Vijay Nagar",1,0.01
"Sayaji Hotel, Vijay Nagar",1,0.01
YN Road,1,0.01
"Chokhi Dhani Village Resort, Tonk Road",1,0.01
"Devraj Niwas, Bani Park",1,0.01
"Hotel Clarks Amer, Malviya Nagar",1,0.01
Tonk Road,1,0.01
Vidhyadhar Nagar,1,0.01
Arya Nagar,1,0.01
Hotel Royal Cliff,1,0.01
Parade,1,0.01
"Rave 3, Tilak Nagar",1,0.01
"Rave Moti, Kakadeo",1,0.01
"Status Club, Kanpur Cantonment",1,0.01
"The Landmark Hotel, Mall Road",1,0.01
"Z Square Mall, Mall Road",1,0.01
Chittoor Road,1,0.01
Fort Kochi,1,0.01
"Grand Hotel, MG Road",1,0.01
Palarivattom,1,0.01
Vyttila,1,0.01
Camac Street Area,1,0.01
Elgin,1,0.01
Golpark,1,0.01
Kidderpore,1,0.01
"Mani Square Mall, Kankurgachi",1,0.01
"Quest Mall, Ballygunge",1,0.01
"Silver Spring Arcade, Science City Area",1,0.01
Southern Avenue,1,0.01
Aminabad,1,0.01
Lalbagh,1,0.01
Renaissance Lucknow Hotel,1,0.01
"Riverside Mall, Gomti Nagar",1,0.01
"Royal Inn, Hazratganj",1,0.01
Sadar Bazaar,1,0.01
"A Hotel, Gurdev Nagar",1,0.01
BRS Nagar,1,0.01
"Hyatt Regency, Rajguru Nagar",1,0.01
PAU,1,0.01
Rajguru Nagar,1,0.01
Sarabha Nagar,1,0.01
Shastri Nagar,1,0.01
"Silver Arc Mall, Gurdev Nagar",1,0.01
"Westend Mall, Rajguru Nagar",1,0.01
"Goldfinch Hotel, Balmatta",1,0.01
Hampankatta,1,0.01
Kadri,1,0.01
"The Ocean Pearl, Kodailbail",1,0.01
Sector 70,1,0.01
Azad Nagar,1,0.01
Borivali East,1,0.01
Fort,1,0.01
"Hill Road, Bandra West",1,0.01
Juhu,1,0.01
"Linking Road, Bandra West",1,0.01
"Majiwada, Thane West",1,0.01
"Ramee Guestline Hotel, Juhu",1,0.01
"Versova, Andheri West",1,0.01
Vile Parle East,1,0.01
Doora,1,0.01
Ittige Gudu,1,0.01
Kuvempunagar,1,0.01
"Pai Hotels, Doora",1,0.01
Dhantoli,1,0.01
Mohan Nagar,1,0.01
Pratap Nagar,1,0.01
Ramdaspeth,1,0.01
Sadar,1,0.01
Vivekanand Nagar,1,0.01
"City Center, Parijat Nagar",1,0.01
Parijat Nagar,1,0.01
"SSK Solitaire, Satpur",1,0.01
"Andaz Delhi, Aerocity",1,0.01
"ARSS Mall, Paschim Vihar",1,0.01
"Best Western Taurus Hotel, Mahipalpur",1,0.01
"Centaur Hotel, Aerocity",1,0.01
Chhatarpur,1,0.01
"City Centre Mall, Rohini",1,0.01
Dr. Zakir Hussain Marg,1,0.01
"Garden of Five Senses, Saket",1,0.01
"Gourmet Hub, Pashim Vihar",1,0.01
"Holiday Inn, Aerocity",1,0.01
"ibis New Delhi, Aerocity",1,0.01
Jor Bagh,1,0.01
JW Marriott New Delhi,1,0.01
"Kasbah, Greater Kailash (GK) 1",1,0.01
Kashmiri Gate,1,0.01
"Lemon Tree Premier, Aerocity",1,0.01
Mansingh Road,1,0.01
Model Town 1,1,0.01
"Piccadily Hotel, Janakpuri",1,0.01
"Sector 15, Dwarka",1,0.01
Shastri Park,1,0.01
Sheikh Sarai,1,0.01
"T3 Domestic Arrival, Aerocity",1,0.01
Trilokpuri,1,0.01
Tughlakabad Institutional Area,1,0.01
"West Gate Mall, Rajouri Garden",1,0.01
"Worldmark 3, Aerocity",1,0.01
Golf Course,1,0.01
"Radisson Blu, Sector 18, Noida",1,0.01
Sector 127,1,0.01
Sector 40,1,0.01
Sector 6,1,0.01
Sector 83,1,0.01
"Hotel Maurya, Lodipur",1,0.01
"Maurya Lok, Fraser Road Area",1,0.01
Patliputra Colony,1,0.01
Heritage Town,1,0.01
"Hotel De Pondicherry, White Town",1,0.01
"Villa Shanti, White Town",1,0.01
"Balewadi High Street, Balewadi",1,0.01
Deccan Gymkhana,1,0.01
Law College Road,1,0.01
"Phoenix Market City, Viman Nagar",1,0.01
"R Deccan Mall, JM Road",1,0.01
Ravet,1,0.01
"Spot 18 Mall, Pimple Saudagar",1,0.01
Viman Nagar,1,0.01
Wakad,1,0.01
Gandhi Nagar,1,0.01
"Hotel Capitol Hill, Hindpiri",1,0.01
Kadru,1,0.01
"Radisson Blu, Hindpiri",1,0.01
"Spring City Mall, Doranda",1,0.01
"The Royal Retreat, Bariatu",1,0.01
Karkhana,1,0.01
Sainikpuri,1,0.01
"Golden Square, City Light",1,0.01
"International Business Center, Piplod",1,0.01
Nanpura,1,0.01
"Hotel Express Towers, Alkapuri",1,0.01
"M Cube Mall, Vadiwadi",1,0.01
Dashaswmedh Road,1,0.01
Godaulia,1,0.01
"CMR Central Mall, Maddilapalem",1,0.01
"Hotel GreenPark, Vizag",1,0.01
"Hotel Novotel, Maharani Peta",1,0.01
Jagadamba Junction,1,0.01
Lawsons Bay,1,0.01
Maddilapalem,1,0.01
Maharani Peta,1,0.01
MVP Colony,1,0.01
Rushikonda,1,0.01
Sagar Nagar,1,0.01
Siripuram,1,0.01
"The Park, Lawsons Bay",1,0.01
Waltair Uplands,1,0.01
Dago,1,0.01
Bogor Timur,1,0.01
Bogor Utara,1,0.01
Cengkareng,1,0.01
Fatmawati,1,0.01
"Gandaria City Mall, Gandaria",1,0.01
"Hotel Shangri-La, Sudirman",1,0.01
Kelapa Gading,1,0.01
"Kota Kasablanka, Tebet",1,0.01
Penjaringan,1,0.01
"Plaza Festival, Kuningan",1,0.01
"Taman Impian Jaya Ancol, Ancol",1,0.01
Tebet,1,0.01
Thamrin,1,0.01
"Alam Sutera Town Center, Serpong Utara",1,0.01
Pondok Aren,1,0.01
Balmoral,1,0.01
Fort Street,1,0.01
Henderson,1,0.01
Lorne Street,1,0.01
Mission Bay,1,0.01
Mt Albert,1,0.01
Newmarket,1,0.01
Parnell,1,0.01
Penrose,1,0.01
"Sky City Metro, Auckland CBD",1,0.01
"The Langham Hotel, Auckland CBD",1,0.01
Wynyard Quarter,1,0.01
Lyall Bay,1,0.01
Mt Victoria,1,0.01
Alum Rock,1,0.01
Brindleyplace,1,0.01
"Brindleyplace, Broad Street",1,0.01
Colmore Business District,1,0.01
Digbeth,1,0.01
Edgbaston,1,0.01
Handsworth,1,0.01
Harborne,1,0.01
Jewellery Quarter,1,0.01
Small Heath,1,0.01
Smethwick,1,0.01
Sparkhill,1,0.01
"The Mailbox, Broad Street",1,0.01
Fountainbridge,1,0.01
Tollcross,1,0.01
"Twelve Picardy Place, New Town",1,0.01
"Albemarle Street, Mayfair",1,0.01
"Archer Street, Soho",1,0.01
"Beak Street, Soho",1,0.01
"Bishopsgate, City Of London",1,0.01
"Boundary Street, Shoreditch",1,0.01
"Broadwick Street, Soho",1,0.01
"Charlotte Street, Fitzrovia",1,0.01
Chelsea,1,0.01
"Conduit Street, Mayfair",1,0.01
Covent Garden,1,0.01
"D'arblay Street, Soho",1,0.01
"Lexington Street, Soho",1,0.01
"Long Acre, Covent Garden",1,0.01
"Portman Mews South, Marble Arch",1,0.01
"Tavistock Court, Covent Garden",1,0.01
"Walker's Court, Soho",1,0.01
Levenshulme,1,0.01
Ain Khalid,1,0.01
Al Doha Al Jadeeda,1,0.01
"Al Emadi Financial Square, Al Hilal",1,0.01
Al Ghanim,1,0.01
Al Hilal,1,0.01
Al Muntazah,1,0.01
Al Nasr,1,0.01
"Barwa Towers, Al Sadd",1,0.01
"Caravan Complex, Al Hilal",1,0.01
Fereej Bin Mahmoud,1,0.01
"Ghanem Business Center, Fereej Bin Mahmoud",1,0.01
"Hotel Intercontinental Doha, Westbay",1,0.01
"Mall of Qatar, Al Gharafa",1,0.01
Musheireb,1,0.01
Souq Waqif,1,0.01
"The Gate, Dafna",1,0.01
"The St. Regis, Westbay",1,0.01
"The Westin Doha Hotel & Spa, Fereej Bin Mahmoud",1,0.01
Athlone,1,0.01
"Cavendish Square, Claremont",1,0.01
Claremont,1,0.01
De Waterkant,1,0.01
Newlands,1,0.01
"One and Only Hotel, V & A Waterfront",1,0.01
City and Suburban,1,0.01
Marshalltown,1,0.01
Greenside,1,0.01
Parktown North,1,0.01
Rosebank,1,0.01
Garsfontein,1,0.01
"Glenfair Boulevard, Lynnwood  ",1,0.01
"Greenlyn Village, Menlopark, Near Lynnwood",1,0.01
Lynnwood,1,0.01
"Menlyn Boutique Hotel, Menlyn",1,0.01
"Menlyn Maine, Waterkloof Glen",1,0.01
"Waterglen Shopping Centre, Garsfontein",1,0.01
West Park,1,0.01
Linden,1,0.01
"Bryanston Shopping Centre, Bryanston",1,0.01
Illovo,1,0.01
"Melrose Arch, Melrose ",1,0.01
"Nelson Mandela Square, Sandown",1,0.01
"Nicolway Shopping Centre, Bryanston",1,0.01
"Post Office Center, Illovo",1,0.01
"Waterfall Corner Mall, Midrand",1,0.01
"Dehiwala, Colombo",1,0.01
"Fort, Colombo 01",1,0.01
"Old Dutch Hospital, Fort",1,0.01
"Rajagiriya, Colombo",1,0.01
"Slave Island, Colombo 02",1,0.01
"Armada AVM, S�_���_t�_z�_, Yenimahalle",1,0.01
�ayyolu,1,0.01
�ukurambar,1,0.01
Dikmen,1,0.01
Emek,1,0.01
Kavakl۱dere,1,0.01
"Kentpark AVM, ��niversiteler, �ankaya",1,0.01
Macunk�_y,1,0.01
Maltepe,1,0.01
��mitk�_y,1,0.01
Y۱ld۱zevler,1,0.01
Asmal۱mescit,1,0.01
Bebek,1,0.01
Be��ikta�� Merkez,1,0.01
Caddebostan,1,0.01
Emirg��n,1,0.01
Kad۱k�_y Merkez,1,0.01
Ko��uyolu,1,0.01
Moda,1,0.01
